"year","state","y"
2019,"Indiana",894471
1997,"Iowa",254489
1998,"Iowa",232057
1999,"Iowa",230691
2000,"Iowa",232565
2001,"Iowa",224336
2002,"Iowa",226457
2003,"Iowa",230161
2004,"Iowa",226819
2005,"Iowa",241340
2006,"Iowa",238454
2007,"Iowa",293274
2008,"Iowa",325772
2009,"Iowa",315186
2010,"Iowa",311075
2011,"Iowa",306909
2012,"Iowa",295183
2013,"Iowa",326140
2014,"Iowa",329385
2015,"Iowa",317821
2016,"Iowa",330094
2017,"Iowa",391129
2018,"Iowa",443174
2019,"Iowa",442873
1997,"Kansas",338231
1998,"Kansas",326674
1999,"Kansas",302932
2000,"Kansas",312369
2001,"Kansas",272500
2002,"Kansas",304992
2003,"Kansas",281346
2004,"Kansas",256779
2005,"Kansas",255123
2006,"Kansas",264253
2007,"Kansas",286538
2008,"Kansas",282904
2009,"Kansas",286973
2010,"Kansas",275184
2011,"Kansas",279724
2012,"Kansas",262316
2013,"Kansas",283177
2014,"Kansas",284651
2015,"Kansas",270938
2016,"Kansas",267315
2017,"Kansas",269919
2018,"Kansas",310028
2019,"Kansas",306050
1997,"Kentucky",227931
1998,"Kentucky",205129
1999,"Kentucky",218399
2000,"Kentucky",225168
2001,"Kentucky",208974
2002,"Kentucky",227920
2003,"Kentucky",223226
2004,"Kentucky",225470
2005,"Kentucky",234080
2006,"Kentucky",211049
2007,"Kentucky",229799
2008,"Kentucky",225295
2009,"Kentucky",206833
2010,"Kentucky",232099
2011,"Kentucky",223034
2012,"Kentucky",225924
2013,"Kentucky",229983
2014,"Kentucky",255434
2015,"Kentucky",270958
2016,"Kentucky",271845
2017,"Kentucky",283678
2018,"Kentucky",340125
2019,"Kentucky",336191
1997,"Louisiana",1661061
1998,"Louisiana",1569190
1999,"Louisiana",1495478
2000,"Louisiana",1536725
2001,"Louisiana",1219013
2002,"Louisiana",1341444
2003,"Louisiana",1233505
2004,"Louisiana",1281428
2005,"Louisiana",1254370
2006,"Louisiana",1217871
2007,"Louisiana",1289421
2008,"Louisiana",1238661
2009,"Louisiana",1189744
2010,"Louisiana",1354641
2011,"Louisiana",1420264
2012,"Louisiana",1482343
2013,"Louisiana",1396261
2014,"Louisiana",1423424
2015,"Louisiana",1470354
2016,"Louisiana",1591882
2017,"Louisiana",1593181
2018,"Louisiana",1738734
2019,"Louisiana",1861894
1997,"Maine",6290
1998,"Maine",5716
1999,"Maine",6572
2000,"Maine",44779
2001,"Maine",95733
2002,"Maine",101536
2003,"Maine",70832
2004,"Maine",72565
2005,"Maine",57835
2006,"Maine",49605
2007,"Maine",63183
2008,"Maine",70146
2009,"Maine",70334
2010,"Maine",77575
2011,"Maine",71690
2012,"Maine",68266
2013,"Maine",64091
2014,"Maine",60663
2015,"Maine",52777
2016,"Maine",53128
2017,"Maine",43810
2018,"Maine",46464
2019,"Maine",44484
1997,"Maryland",212017
1998,"Maryland",188552
1999,"Maryland",196350
2000,"Maryland",212133
2001,"Maryland",178376
2002,"Maryland",196276
2003,"Maryland",197024
2004,"Maryland",194725
2005,"Maryland",202509
2006,"Maryland",182294
2007,"Maryland",201053
2008,"Maryland",196067
2009,"Maryland",196510
2010,"Maryland",212020
2011,"Maryland",193986
2012,"Maryland",208946
2013,"Maryland",197356
2014,"Maryland",207103
2015,"Maryland",215005
2016,"Maryland",219024
2017,"Maryland",222881
2018,"Maryland",300637
2019,"Maryland",300876
1997,"Massachusetts",402629
1998,"Massachusetts",358846
1999,"Massachusetts",344790
2000,"Massachusetts",343314
2001,"Massachusetts",349103
2002,"Massachusetts",393194
2003,"Massachusetts",403991
2004,"Massachusetts",372532
2005,"Massachusetts",378068
2006,"Massachusetts",370664
2007,"Massachusetts",408704
2008,"Massachusetts",406719
2009,"Massachusetts",395852
2010,"Massachusetts",432297
2011,"Massachusetts",449194
2012,"Massachusetts",416350
2013,"Massachusetts",421001
2014,"Massachusetts",421671
2015,"Massachusetts",444332
2016,"Massachusetts",427946
2017,"Massachusetts",448996
2018,"Massachusetts",438577
2019,"Massachusetts",433774
1997,"Michigan",994342
1998,"Michigan",876444
1999,"Michigan",951143
2000,"Michigan",963136
2001,"Michigan",906001
2002,"Michigan",966354
2003,"Michigan",924819
2004,"Michigan",916629
2005,"Michigan",913827
2006,"Michigan",803336
2007,"Michigan",798126
2008,"Michigan",779602
2009,"Michigan",735340
2010,"Michigan",746748
2011,"Michigan",776466
2012,"Michigan",790642
2013,"Michigan",814635
2014,"Michigan",861755
2015,"Michigan",844801
2016,"Michigan",890324
2017,"Michigan",870756
2018,"Michigan",965538
2019,"Michigan",1002237
1997,"Minnesota",354092
1998,"Minnesota",330513
1999,"Minnesota",344591
2000,"Minnesota",362025
2001,"Minnesota",340911
2002,"Minnesota",371583
2003,"Minnesota",371261
2004,"Minnesota",359898
2005,"Minnesota",367825
2006,"Minnesota",352570
2007,"Minnesota",388335
2008,"Minnesota",425352
2009,"Minnesota",394136
2010,"Minnesota",422968
2011,"Minnesota",420770
2012,"Minnesota",422263
2013,"Minnesota",467874
2014,"Minnesota",474520
2015,"Minnesota",431315
2016,"Minnesota",449783
2017,"Minnesota",451979
2018,"Minnesota",490169
2019,"Minnesota",509061
1997,"Mississippi",255475
1998,"Mississippi",241342
1999,"Mississippi",306733
2000,"Mississippi",300652
2001,"Mississippi",332589
2002,"Mississippi",343890
2003,"Mississippi",265842
2004,"Mississippi",282051
2005,"Mississippi",301663
2006,"Mississippi",307305
2007,"Mississippi",364067
2008,"Mississippi",355006
2009,"Mississippi",364323
2010,"Mississippi",438733
2011,"Mississippi",433538
2012,"Mississippi",494016
2013,"Mississippi",420594
2014,"Mississippi",427584
2015,"Mississippi",521355
2016,"Mississippi",544464
2017,"Mississippi",526862
2018,"Mississippi",576888
2019,"Mississippi",570154
1997,"Missouri",283294
1998,"Missouri",258652
1999,"Missouri",265798
2000,"Missouri",284763
2001,"Missouri",283793
2002,"Missouri",275629
2003,"Missouri",262529
2004,"Missouri",263945
2005,"Missouri",268040
2006,"Missouri",252697
2007,"Missouri",272536
2008,"Missouri",296058
2009,"Missouri",264867
2010,"Missouri",280181
2011,"Missouri",272583
2012,"Missouri",255875
2013,"Missouri",276967
2014,"Missouri",297087
2015,"Missouri",267673
2016,"Missouri",267170
2017,"Missouri",261993
2018,"Missouri",322805
2019,"Missouri",316378
1997,"Montana",59851
1998,"Montana",59840
1999,"Montana",62129
2000,"Montana",67955
2001,"Montana",65051
2002,"Montana",69532
2003,"Montana",68473
2004,"Montana",66829
2005,"Montana",68355
2006,"Montana",73879
2007,"Montana",73822
2008,"Montana",76422
2009,"Montana",75802
2010,"Montana",72025
2011,"Montana",78217
2012,"Montana",73399
2013,"Montana",79670
2014,"Montana",78110
2015,"Montana",75042
2016,"Montana",75037
2017,"Montana",80036
2018,"Montana",87034
2019,"Montana",88394
1997,"Nebraska",132221
1998,"Nebraska",130730
1999,"Nebraska",121487
2000,"Nebraska",126962
2001,"Nebraska",121984
2002,"Nebraska",120333
2003,"Nebraska",118922
2004,"Nebraska",115011
2005,"Nebraska",119070
2006,"Nebraska",129885
2007,"Nebraska",150808
2008,"Nebraska",171005
2009,"Nebraska",163474
2010,"Nebraska",168944
2011,"Nebraska",171777
2012,"Nebraska",158757
2013,"Nebraska",173376
2014,"Nebraska",172837
2015,"Nebraska",161189
2016,"Nebraska",163362
2017,"Nebraska",166286
2018,"Nebraska",185949
2019,"Nebraska",185260
1997,"Nevada",132128
1998,"Nevada",148539
1999,"Nevada",154689
2000,"Nevada",189170
2001,"Nevada",176835
2002,"Nevada",176596
2003,"Nevada",185846
2004,"Nevada",214984
2005,"Nevada",227149
2006,"Nevada",249608
2007,"Nevada",254406
2008,"Nevada",264596
2009,"Nevada",275468
2010,"Nevada",259251
2011,"Nevada",249971
2012,"Nevada",273502
2013,"Nevada",272965
2014,"Nevada",253290
2015,"Nevada",300002
2016,"Nevada",304181
2017,"Nevada",293849
2018,"Nevada",299783
2019,"Nevada",302373
1997,"New Hampshire",20848
1998,"New Hampshire",19127
1999,"New Hampshire",20313
2000,"New Hampshire",24950
2001,"New Hampshire",23398
2002,"New Hampshire",24901
2003,"New Hampshire",54147
2004,"New Hampshire",61172
2005,"New Hampshire",70484
2006,"New Hampshire",62549
2007,"New Hampshire",62132
2008,"New Hampshire",71179
2009,"New Hampshire",59950
2010,"New Hampshire",60378
2011,"New Hampshire",69978
2012,"New Hampshire",72032
2013,"New Hampshire",54028
2014,"New Hampshire",57018
2015,"New Hampshire",68682
2016,"New Hampshire",57957
2017,"New Hampshire",52071
2018,"New Hampshire",49888
2019,"New Hampshire",53624
1997,"New Jersey",717011
1998,"New Jersey",679619
1999,"New Jersey",715630
2000,"New Jersey",605275
2001,"New Jersey",564923
2002,"New Jersey",598602
2003,"New Jersey",612890
2004,"New Jersey",620806
2005,"New Jersey",602388
2006,"New Jersey",547206
2007,"New Jersey",618965
2008,"New Jersey",614908
2009,"New Jersey",620790
2010,"New Jersey",654458
2011,"New Jersey",660743
2012,"New Jersey",652060
2013,"New Jersey",682247
2014,"New Jersey",773221
2015,"New Jersey",745789
2016,"New Jersey",762958
2017,"New Jersey",706589
2018,"New Jersey",770284
2019,"New Jersey",766824
1997,"New Mexico",256464
1998,"New Mexico",245823
1999,"New Mexico",236264
2000,"New Mexico",266469
2001,"New Mexico",266283
2002,"New Mexico",235098
2003,"New Mexico",221021
2004,"New Mexico",223575
2005,"New Mexico",220717
2006,"New Mexico",223636
2007,"New Mexico",234236
2008,"New Mexico",246665
2009,"New Mexico",241194
2010,"New Mexico",241137
2011,"New Mexico",246418
2012,"New Mexico",243961
2013,"New Mexico",245502
2014,"New Mexico",247637
2015,"New Mexico",250518
2016,"New Mexico",247761
2017,"New Mexico",239305
2018,"New Mexico",271547
2019,"New Mexico",296753
1997,"New York",1324164
1998,"New York",1232473
1999,"New York",1274162
2000,"New York",1244746
2001,"New York",1171898
2002,"New York",1199632
2003,"New York",1101618
2004,"New York",1098056
2005,"New York",1080215
2006,"New York",1097160
2007,"New York",1187059
2008,"New York",1180356
2009,"New York",1142625
2010,"New York",1198127
2011,"New York",1217324
2012,"New York",1223036
2013,"New York",1273263
2014,"New York",1349203
2015,"New York",1353385
2016,"New York",1296270
2017,"New York",1237311
2018,"New York",1350443
2019,"New York",1312031
1997,"North Carolina",215634
1998,"North Carolina",214092
1999,"North Carolina",217159
2000,"North Carolina",233714
2001,"North Carolina",207108
2002,"North Carolina",235376
2003,"North Carolina",218642
2004,"North Carolina",224796
2005,"North Carolina",229715
2006,"North Carolina",223032
2007,"North Carolina",237354
2008,"North Carolina",243090
2009,"North Carolina",247047
2010,"North Carolina",304148
2011,"North Carolina",307804
2012,"North Carolina",363945
2013,"North Carolina",440175
2014,"North Carolina",452780
2015,"North Carolina",498576
2016,"North Carolina",522002
2017,"North Carolina",502567
2018,"North Carolina",582418
2019,"North Carolina",556490
1997,"North Dakota",56179
1998,"North Dakota",49541
1999,"North Dakota",56418
2000,"North Dakota",56528
2001,"North Dakota",60819
2002,"North Dakota",66726
2003,"North Dakota",60907
2004,"North Dakota",59986
2005,"North Dakota",53050
2006,"North Dakota",53336
2007,"North Dakota",59453
2008,"North Dakota",63097
2009,"North Dakota",54564
2010,"North Dakota",66395
2011,"North Dakota",72463
2012,"North Dakota",72740
2013,"North Dakota",81593
2014,"North Dakota",86881
2015,"North Dakota",97725
2016,"North Dakota",102322
2017,"North Dakota",109440
2018,"North Dakota",126325
2019,"North Dakota",134722
1997,"Ohio",897693
1998,"Ohio",811384
1999,"Ohio",841966
2000,"Ohio",890962
2001,"Ohio",804243
2002,"Ohio",830955
2003,"Ohio",848388
2004,"Ohio",825753
2005,"Ohio",825961
2006,"Ohio",742359
2007,"Ohio",806350
2008,"Ohio",792247
2009,"Ohio",740925
2010,"Ohio",784293
2011,"Ohio",823548
2012,"Ohio",842959
2013,"Ohio",912403
2014,"Ohio",1002345
2015,"Ohio",966492
2016,"Ohio",928492
2017,"Ohio",948324
2018,"Ohio",1162745
2019,"Ohio",1179077
1997,"Oklahoma",567050
1998,"Oklahoma",575855
1999,"Oklahoma",538329
2000,"Oklahoma",538563
2001,"Oklahoma",491458
2002,"Oklahoma",508298
2003,"Oklahoma",540103
2004,"Oklahoma",538576
2005,"Oklahoma",582536
2006,"Oklahoma",624400
2007,"Oklahoma",658379
2008,"Oklahoma",687989
2009,"Oklahoma",659305
2010,"Oklahoma",675727
2011,"Oklahoma",655919
2012,"Oklahoma",691661
2013,"Oklahoma",658569
2014,"Oklahoma",642309
2015,"Oklahoma",679457
2016,"Oklahoma",701776
2017,"Oklahoma",664233
2018,"Oklahoma",807023
2019,"Oklahoma",835139
1997,"Oregon",185069
1998,"Oregon",229403
1999,"Oregon",235009
2000,"Oregon",224888
2001,"Oregon",229665
2002,"Oregon",202164
2003,"Oregon",212556
2004,"Oregon",234997
2005,"Oregon",232562
2006,"Oregon",222608
2007,"Oregon",251927
2008,"Oregon",268484
2009,"Oregon",248864
2010,"Oregon",239325
2011,"Oregon",199419
2012,"Oregon",215830
2013,"Oregon",240418
2014,"Oregon",220090
2015,"Oregon",234634
2016,"Oregon",235912
2017,"Oregon",247206
2018,"Oregon",255713
2019,"Oregon",288976
1997,"Pennsylvania",706230
1998,"Pennsylvania",644017
1999,"Pennsylvania",688740
2000,"Pennsylvania",702847
2001,"Pennsylvania",634794
2002,"Pennsylvania",675583
2003,"Pennsylvania",689992
2004,"Pennsylvania",696175
2005,"Pennsylvania",691591
2006,"Pennsylvania",659754
2007,"Pennsylvania",752401
2008,"Pennsylvania",749884
2009,"Pennsylvania",809707
2010,"Pennsylvania",879365
2011,"Pennsylvania",965742
2012,"Pennsylvania",1037979
2013,"Pennsylvania",1121696
2014,"Pennsylvania",1244371
2015,"Pennsylvania",1255621
2016,"Pennsylvania",1301000
2017,"Pennsylvania",1350245
2018,"Pennsylvania",1460456
2019,"Pennsylvania",1612589
1997,"Rhode Island",117707
1998,"Rhode Island",130751
1999,"Rhode Island",118001
2000,"Rhode Island",88419
2001,"Rhode Island",95607
2002,"Rhode Island",87805
2003,"Rhode Island",78456
2004,"Rhode Island",72609
2005,"Rhode Island",80764
2006,"Rhode Island",77204
2007,"Rhode Island",87972
2008,"Rhode Island",89256
2009,"Rhode Island",92743
2010,"Rhode Island",94110
2011,"Rhode Island",100455
2012,"Rhode Island",95476
2013,"Rhode Island",85537
2014,"Rhode Island",88886
2015,"Rhode Island",93886
2016,"Rhode Island",85977
2017,"Rhode Island",92061
2018,"Rhode Island",101796
2019,"Rhode Island",99301
1997,"South Carolina",153917
1998,"South Carolina",159458
1999,"South Carolina",162926
2000,"South Carolina",160436
2001,"South Carolina",141785
2002,"South Carolina",184803
2003,"South Carolina",146641
2004,"South Carolina",163787
2005,"South Carolina",172032
2006,"South Carolina",174806
2007,"South Carolina",175701
2008,"South Carolina",170077
2009,"South Carolina",190928
2010,"South Carolina",220235
2011,"South Carolina",229497
2012,"South Carolina",244850
2013,"South Carolina",232297
2014,"South Carolina",230525
2015,"South Carolina",275751
2016,"South Carolina",275946
2017,"South Carolina",278768
2018,"South Carolina",330362
2019,"South Carolina",337310
1997,"South Dakota",36115
1998,"South Dakota",33042
1999,"South Dakota",35794
2000,"South Dakota",37939
2001,"South Dakota",37077
2002,"South Dakota",41577
2003,"South Dakota",43881
2004,"South Dakota",41679
2005,"South Dakota",42555
2006,"South Dakota",40739
2007,"South Dakota",53938
2008,"South Dakota",65258
2009,"South Dakota",66185
2010,"South Dakota",72563
2011,"South Dakota",73605
2012,"South Dakota",70238
2013,"South Dakota",81986
2014,"South Dakota",80613
2015,"South Dakota",79099
2016,"South Dakota",80513
2017,"South Dakota",80890
2018,"South Dakota",89464
2019,"South Dakota",91362
1997,"Tennessee",282395
1998,"Tennessee",279070
1999,"Tennessee",278841
2000,"Tennessee",270658
2001,"Tennessee",255990
2002,"Tennessee",255515
2003,"Tennessee",257315
2004,"Tennessee",231133
2005,"Tennessee",230338
2006,"Tennessee",221626
2007,"Tennessee",221118
2008,"Tennessee",229935
2009,"Tennessee",216945
2010,"Tennessee",257443
2011,"Tennessee",264231
2012,"Tennessee",277127
2013,"Tennessee",279441
2014,"Tennessee",305633
2015,"Tennessee",313379
2016,"Tennessee",326546
2017,"Tennessee",321644
2018,"Tennessee",392161
2019,"Tennessee",402277
1997,"Texas",4116722
1998,"Texas",4205459
1999,"Texas",4009689
2000,"Texas",4421777
2001,"Texas",4252152
2002,"Texas",4303831
2003,"Texas",4050632
2004,"Texas",3908243
2005,"Texas",3503636
2006,"Texas",3432236
2007,"Texas",3516706
2008,"Texas",3546804
2009,"Texas",3387341
2010,"Texas",3574398
2011,"Texas",3693905
2012,"Texas",3850331
2013,"Texas",4021851
2014,"Texas",3928277
2015,"Texas",4113608
2016,"Texas",4020915
2017,"Texas",3867275
2018,"Texas",4464219
2019,"Texas",4619800
1949,"U.S.",4971152
1950,"U.S.",5766542
1951,"U.S.",6810162
1952,"U.S.",7294320
1953,"U.S.",7639270
1954,"U.S.",8048504
1955,"U.S.",8693657
1956,"U.S.",9288865
1957,"U.S.",9846139
1958,"U.S.",10302608
1959,"U.S.",11321181
1960,"U.S.",11966537
1961,"U.S.",12489268
1962,"U.S.",13266513
1963,"U.S.",13970229
1964,"U.S.",14813808
1965,"U.S.",15279716
1966,"U.S.",16452403
1967,"U.S.",17388360
1968,"U.S.",18632062
1969,"U.S.",20056240
1970,"U.S.",21139386
1971,"U.S.",21793454
1972,"U.S.",22101451
1973,"U.S.",22049363
1974,"U.S.",21223133
1975,"U.S.",19537593
1976,"U.S.",19946496
1977,"U.S.",19520581
1978,"U.S.",19627478
1979,"U.S.",20240761
1980,"U.S.",19877293
1981,"U.S.",19403858
1982,"U.S.",18001055
1983,"U.S.",16834912
1984,"U.S.",17950527
1985,"U.S.",17280943
1986,"U.S.",16221296
1987,"U.S.",17210809
1988,"U.S.",18029585
1989,"U.S.",19118997
1990,"U.S.",19173556
1991,"U.S.",19562067
1992,"U.S.",20228228
1993,"U.S.",20789842
1994,"U.S.",21247098
1995,"U.S.",22206889
1996,"U.S.",22609080
1997,"U.S.",22737342
1998,"U.S.",22245956
1999,"U.S.",22405151
2000,"U.S.",23333121
2001,"U.S.",22238624
2002,"U.S.",23027021
2003,"U.S.",22276502
2004,"U.S.",22402546
